id,Make,Model,Aircraft.damage,Aircraft.Category,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Injury.Severity,Event.Date,Amateur.Built,Engine.Type,Weather.Condition,Number.of.Engines,Purpose.of.flight,Broad.phase.of.flight,total_passengers,likelihood_serious_fatal,Destroyed?
113,Gates Learjet,35A,Minor,Airplane,0.0,0.0,0.0,2.0,Incident,1994-10-10,No,Turbo Fan,VMC,1.0,Positioning,Climb,2.0,0.0,0
92,Great Lakes,2T-1A-2,Substantial,Airplane,0.0,0.0,0.0,2.0,Non-Fatal,1994-10-10,No,Reciprocating,VMC,1.0,Personal,Taxi,2.0,0.0,0
938,Boeing Stearman,PT-17,Substantial,Airplane,0.0,0.0,0.0,2.0,Non-Fatal,1994-10-15,No,Reciprocating,VMC,1.0,Instructional,Landing,2.0,0.0,0
448,Canadair,CL 600,Minor,Airplane,0.0,0.0,0.0,4.0,Incident,1994-10-16,No,Turbo Fan,IMC,2.0,Business,Descent,4.0,0.0,0
278,Gulfstream American,AA-5A,Destroyed,Airplane,2.0,1.0,0.0,0.0,Fatal(2),1994-10-20,No,Reciprocating,VMC,1.0,Personal,Takeoff,3.0,1.0,1
1127,United Consultant Corp.,UC-1,Substantial,Airplane,2.0,0.0,0.0,0.0,Fatal(2),1994-10-27,No,Reciprocating,VMC,2.0,Instructional,Maneuvering,2.0,1.0,0
567,Forney,F-1,Substantial,Airplane,0.0,0.0,0.0,2.0,Non-Fatal,1994-10-28,No,Reciprocating,VMC,1.0,Personal,Cruise,2.0,0.0,0
878,North American-barene,P-51-D,Substantial,Airplane,0.0,0.0,0.0,2.0,Non-Fatal,1994-10-28,No,Reciprocating,VMC,1.0,Personal,Landing,2.0,0.0,0
284,American General Aircraft,AA1,Substantial,Airplane,0.0,1.0,0.0,1.0,Non-Fatal,1994-10-29,No,Reciprocating,VMC,1.0,Personal,Takeoff,2.0,0.5,0
700,Kaman,HH-43F,Destroyed,Airplane,0.0,1.0,0.0,0.0,Non-Fatal,1994-10-30,No,Turbo Shaft,VMC,1.0,Other Work Use,Cruise,1.0,1.0,1
333,Atr,ATR-72-212,Destroyed,Airplane,68.0,0.0,0.0,0.0,Fatal(68),1994-10-31,No,Turbo Prop,IMC,2.0,Unknown,Maneuvering,68.0,1.0,1
13,Pezetel,106A,Destroyed,Airplane,1.0,0.0,0.0,0.0,Fatal(1),1994-11-12,No,Reciprocating,VMC,1.0,Ferry,Cruise,1.0,1.0,1
212,Alon,A-2,Substantial,Airplane,0.0,1.0,0.0,0.0,Non-Fatal,1994-11-13,No,Reciprocating,VMC,1.0,Personal,Takeoff,1.0,1.0,0
618,Fairchild Hiller,FH-1100,Substantial,Airplane,0.0,1.0,0.0,0.0,Non-Fatal,1994-11-19,No,Turbo Shaft,VMC,1.0,Other Work Use,Maneuvering,1.0,1.0,0
308,American General Aircraft,AG5B,Substantial,Airplane,0.0,0.0,0.0,1.0,Non-Fatal,1994-11-27,No,Reciprocating,VMC,1.0,Instructional,Cruise,1.0,0.0,0
1174,Yakovlev,YAK-52,Destroyed,Airplane,1.0,0.0,0.0,0.0,Fatal(1),1994-11-29,No,Reciprocating,VMC,1.0,Personal,Maneuvering,1.0,1.0,1
267,American Aviation Corp. (aac),AA-1A,Destroyed,Airplane,2.0,0.0,0.0,0.0,Fatal(2),1994-11-29,No,Reciprocating,VMC,1.0,Personal,Approach,2.0,1.0,1
732,Britten-norman,ISLANDER BN2B-20,Destroyed,Airplane,0.0,1.0,0.0,0.0,Non-Fatal,1994-12-02,No,Reciprocating,VMC,2.0,Ferry,Cruise,1.0,1.0,1
1036,Siai-marchetti,SF260C,Destroyed,Airplane,2.0,0.0,0.0,0.0,Fatal(2),1994-12-03,No,Reciprocating,VMC,1.0,Other Work Use,Maneuvering,2.0,1.0,1
502,Howard Aircraft Corp.,DGA-15P,Substantial,Airplane,0.0,0.0,0.0,4.0,Non-Fatal,1994-12-03,No,Reciprocating,VMC,1.0,Instructional,Landing,4.0,0.0,0
92,Great Lakes,2T-1A-2,Substantial,Airplane,0.0,0.0,1.0,1.0,Non-Fatal,1994-12-04,No,Reciprocating,VMC,1.0,Personal,Approach,2.0,0.0,0
970,Commonwealth,REARWIN 185,Substantial,Airplane,0.0,0.0,0.0,1.0,Non-Fatal,1994-12-12,No,Reciprocating,VMC,1.0,Personal,Approach,1.0,0.0,0
737,British Aerospace,JETSTREAM 3201,Destroyed,Airplane,15.0,5.0,0.0,0.0,Fatal(15),1994-12-13,No,Turbo Prop,IMC,2.0,Unknown,Approach,20.0,1.0,1
261,American,AA-1,Destroyed,Airplane,0.0,2.0,0.0,0.0,Non-Fatal,1994-12-14,No,Reciprocating,VMC,1.0,Personal,Maneuvering,2.0,1.0,1
446,American Champion (acac),CITABRIA 7-GCBC,Substantial,Airplane,0.0,0.0,0.0,2.0,Non-Fatal,1994-12-16,No,Reciprocating,VMC,1.0,Instructional,Landing,2.0,0.0,0
428,Intermountain Mfg. (imco),CALLAIR A-9,Substantial,Airplane,0.0,0.0,0.0,3.0,Non-Fatal,1994-12-20,No,Reciprocating,VMC,1.0,Business,Standing,3.0,0.0,0
701,Kaman,HH43,Substantial,Airplane,0.0,0.0,0.0,1.0,Non-Fatal,1995-01-09,No,Turbo Shaft,VMC,2.0,Aerial Application,Maneuvering,1.0,0.0,0
983,Interstate,S-1A,Destroyed,Airplane,0.0,0.0,0.0,2.0,Non-Fatal,1995-01-12,No,Reciprocating,VMC,1.0,Instructional,Maneuvering,2.0,0.0,1
188,Atr,72-212,Minor,Airplane,0.0,0.0,2.0,35.0,Incident,1995-01-17,No,Turbo Prop,VMC,2.0,Unknown,Taxi,37.0,0.0,0
240,Agusta,A109C,Destroyed,Airplane,3.0,0.0,0.0,0.0,Fatal(3),1995-01-18,No,Turbo Shaft,IMC,2.0,Executive/corporate,Maneuvering,3.0,1.0,1
768,Aerofab Inc.,LAKE LA-250,Substantial,Airplane,0.0,0.0,0.0,2.0,Non-Fatal,1995-02-04,No,Reciprocating,VMC,1.0,Personal,Takeoff,2.0,0.0,0
71,Varga,2150A,Destroyed,Airplane,0.0,1.0,0.0,0.0,Non-Fatal,1995-02-11,No,Reciprocating,VMC,1.0,Instructional,Descent,1.0,1.0,1
1023,Short Brothers,SD3-60,Minor,Airplane,0.0,0.0,0.0,36.0,Incident,1995-02-18,No,Turbo Prop,VMC,2.0,Unknown,Landing,36.0,0.0,0
30,Israel Aircraft Industries,1124,Substantial,Airplane,0.0,0.0,0.0,2.0,Non-Fatal,1995-02-21,No,Turbo Fan,UNK,2.0,Business,Standing,2.0,0.0,0
31,Israel Aircraft Industries,1124A,Substantial,Airplane,0.0,0.0,1.0,9.0,Non-Fatal,1995-03-03,No,Turbo Fan,VMC,2.0,Executive/corporate,Landing,10.0,0.0,0
597,Fokker,F28-4000,Minor,Airplane,0.0,0.0,0.0,21.0,Incident,1995-03-04,No,Turbo Jet,VMC,2.0,Unknown,Landing,21.0,0.0,0
841,Quicksilver,MXL2,Destroyed,Airplane,2.0,0.0,0.0,0.0,Fatal(2),1995-03-13,No,Unknown,VMC,1.0,Personal,Descent,2.0,1.0,1
206,Christen Industries,A-1,Substantial,Airplane,0.0,0.0,0.0,2.0,Non-Fatal,1995-03-21,No,Reciprocating,VMC,1.0,Personal,Landing,2.0,0.0,0
1044,Bulsky,SKYBOLT,Destroyed,Airplane,0.0,0.0,0.0,2.0,Non-Fatal,1995-03-30,No,Reciprocating,VMC,1.0,Personal,Cruise,2.0,0.0,1
186,Fleet,7,Substantial,Airplane,0.0,0.0,0.0,2.0,Non-Fatal,1995-03-30,No,Reciprocating,VMC,1.0,Personal,Landing,2.0,0.0,0
198,American Champion (acac),8KCAB,Substantial,Airplane,0.0,0.0,0.0,2.0,Non-Fatal,1995-04-01,No,Reciprocating,VMC,1.0,Personal,Landing,2.0,0.0,0
646,Gulfstream-schweizer,G-164B,Destroyed,Airplane,0.0,0.0,0.0,1.0,Non-Fatal,1995-04-29,No,Reciprocating,VMC,1.0,Aerial Application,Maneuvering,1.0,0.0,1
877,Curtiss-wright,P-40E,Substantial,Airplane,0.0,1.0,0.0,0.0,Non-Fatal,1995-05-11,No,Reciprocating,VMC,1.0,Personal,Cruise,1.0,1.0,0
1126,Stol,UC-1,Destroyed,Airplane,3.0,0.0,0.0,0.0,Fatal(3),1995-05-21,No,Reciprocating,VMC,2.0,Personal,Unknown,3.0,1.0,1
113,Gates Learjet,35A,Substantial,Airplane,0.0,0.0,0.0,7.0,Non-Fatal,1995-05-23,No,Turbo Jet,VMC,2.0,Executive/corporate,Takeoff,7.0,0.0,0
696,Hispano Aviacion,HB-200,Substantial,Airplane,0.0,0.0,1.0,1.0,Non-Fatal,1995-05-25,No,Turbo Jet,IMC,2.0,Personal,Takeoff,2.0,0.0,0
1106,Garlick,TH-1L,Substantial,Airplane,1.0,0.0,0.0,0.0,Fatal(1),1995-06-01,No,Turbo Shaft,VMC,1.0,Other Work Use,Maneuvering,1.0,1.0,0
261,American,AA-1,Substantial,Airplane,0.0,0.0,0.0,1.0,Non-Fatal,1995-06-01,No,Reciprocating,VMC,1.0,Personal,Landing,1.0,0.0,0
224,Airbus Industrie,A-320-211,Substantial,Airplane,0.0,0.0,0.0,115.0,Non-Fatal,1995-06-03,No,Turbo Fan,VMC,2.0,Unknown,Taxi,115.0,0.0,0
694,Cgs Aviation,HAWK,Destroyed,Airplane,1.0,0.0,0.0,0.0,Fatal(1),1995-06-06,No,Reciprocating,VMC,1.0,Personal,Takeoff,1.0,1.0,1
966,Republic,RC-3,Destroyed,Airplane,0.0,0.0,0.0,2.0,Non-Fatal,1995-06-09,No,Reciprocating,VMC,1.0,Personal,Approach,2.0,0.0,1
206,Christen Industries,A-1,Substantial,Airplane,0.0,0.0,0.0,2.0,Non-Fatal,1995-06-10,No,Reciprocating,VMC,1.0,Personal,Landing,2.0,0.0,0
405,Consolidated-vultee,BT-13B,Substantial,Airplane,0.0,1.0,1.0,0.0,Non-Fatal,1995-06-11,No,Reciprocating,VMC,1.0,Personal,Approach,2.0,0.5,0
990,Christen Industries,S-2B,Destroyed,Airplane,0.0,2.0,0.0,0.0,Non-Fatal,1995-06-17,No,Reciprocating,VMC,1.0,Personal,Cruise,2.0,1.0,1
912,Issoire-aviation,PIK-30,Substantial,Airplane,0.0,1.0,0.0,0.0,Non-Fatal,1995-06-18,No,Reciprocating,VMC,1.0,Personal,Cruise,1.0,1.0,0
